Event ID, start date (decimal year), end date (decimal year), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, duration (days)
0, 2007.0554, 2007.1184, -123.74282647870976, 47.85785479155351, 36.59399310232981, 6.670220994466828, 24
1, 2007.4579, 2007.5099, -123.50017661677639, 45.520551056822924, 31.91660311269249, 6.259303694272886, 20
2, 2007.488, 2007.5373, -123.624796123211, 43.44585425881591, 32.290770012364156, 6.054725204725489, 19
3, 2007.7481, 2007.8166, -125.32262924331249, 49.19300711087028, 31.79175619964428, 6.278625080342639, 26
4, 2008.2984, 2008.3669, -123.56677316223573, 40.9869352320251, 31.68214568023527, 6.030290212084352, 26
5, 2008.3477, 2008.4353, -124.00278474075698, 48.23673736521693, 35.975696169681925, 6.615622868984816, 33
6, 2008.4134, 2008.4736, -123.63166503230961, 43.97998285513685, 31.41503586911479, 6.270916865287493, 23
7, 2008.961, 2008.9774, -124.33129402417194, 49.12055061336022, 42.125378423876725, 6.106420922005409, 7
8, 2008.9719, 2009.0021, -123.28889015941999, 45.16891755255219, 35.1485421886244, 6.090158141048483, 12
9, 2009.1389, 2009.2156, -125.56162183750187, 49.21536175549913, 29.268611072297027, 6.4827202159784685, 29
10, 2009.1581, 2009.2293, -123.81370259976963, 42.116862791511274, 30.065646373965606, 6.350205253931898, 27
11, 2009.3333, 2009.3717, -123.49227009660902, 47.83824744772812, 37.47932146978136, 6.325843925837763, 15
12, 2009.4127, 2009.4401, -124.16260929485175, 48.70030498059313, 37.253574703609424, 5.188857050301437, 11
13, 2009.4127, 2009.4401, -124.04957168501639, 48.644762842095474, 37.49452472644079, 5.0189825904745, 11
14, 2009.5989, 2009.7029, -123.51764053812398, 45.977385878251425, 32.25394664466269, 6.7227039763628715, 39
15, 2010.1027, 2010.1465, -123.82736872867514, 42.02973966963636, 29.79553658223069, 6.053429290969269, 17
16, 2010.1547, 2010.193, -125.29999795820116, 49.05694711303892, 30.22113408898166, 5.9299636723997216, 15
17, 2010.204, 2010.2642, -123.5698014690849, 43.85128176257618, 32.4515425166, 5.97049803185082, 23
18, 2010.601, 2010.6694, -123.69830512902325, 47.800093067694924, 35.86224885012618, 6.622935367302566, 26
19, 2011.0418, 2011.0938, -123.78804236033038, 43.280047324278186, 29.193111428319238, 6.01243724476729, 20
20, 2011.3785, 2011.4333, -125.6602881767434, 49.25559400488866, 28.811729831701225, 6.278017731504428, 21
21, 2011.373, 2011.4031, -123.91480488105069, 42.21768584820338, 27.10243852064058, 5.7557806599375745, 12
22, 2011.4114, 2011.6523, -123.61600190920258, 46.62696124324466, 33.51250710846307, 6.82386186945077, 89
23, 2011.6632, 2011.707, -124.1999023956354, 41.04279068562078, 17.521759700303328, 5.83145614348956, 17
24, 2011.6851, 2011.7372, -125.8332876151157, 49.37110948275772, 28.655969135281754, 6.238402418884555, 20
25, 2011.8056, 2011.8522, -123.58335100970396, 41.082478384988875, 31.731805220350157, 5.886507440148311, 18
26, 2012.063, 2012.1232, -124.37998708522873, 47.65437764994288, 24.62441659736423, 6.0360976044388215, 23
27, 2012.3614, 2012.3943, -123.54870240874456, 43.878654731645376, 33.209925700944595, 5.770439126752884, 13
28, 2012.6407, 2012.7803, -124.56019779173019, 48.516780699853925, 32.94023374208177, 6.729529830465318, 52
29, 2012.7474, 2012.794, -123.61553370044979, 43.45994601678737, 32.63902773494879, 6.156829702866393, 18
30, 2012.8077, 2012.8816, -123.41625874267842, 40.82678436880791, 34.29949970067251, 6.057966688393822, 28
31, 2013.1773, 2013.3142, -123.44054285255358, 45.76080473541835, 33.09682969572421, 6.504538323925832, 51
32, 2013.3224, 2013.4018, -124.11364157293478, 41.01479776557529, 18.95690371604598, 5.745974832012322, 30
33, 2013.5715, 2013.64, -123.92131895787531, 42.06811999131569, 27.781946905665013, 6.125255020890925, 26
34, 2013.7194, 2013.8042, -124.32208522396253, 48.43739287364841, 34.347397419526565, 6.632616028321156, 32
35, 2014.1136, 2014.2012, -123.5929858809488, 44.00740698259236, 31.54186972485677, 6.315542185146523, 33
36, 2014.1766, 2014.2122, -124.13649271865528, 42.16631510619968, 21.62509697213609, 5.550752736875577, 14
37, 2014.2697, 2014.319, -127.10910814331116, 49.615388542575275, 17.09017651656847, 6.062221368546933, 19
38, 2014.4476, 2014.4997, -123.35944357114566, 46.651507294371896, 34.45538525353024, 6.271923856240563, 20
39, 2014.5517, 2014.6721, -123.88523522084259, 41.97632050041366, 28.005605820844476, 6.120887319435389, 45
40, 2014.6639, 2014.7269, -123.30214724202388, 47.196749013138344, 36.281869128893, 6.1809781829446555, 24
41, 2014.8008, 2014.8282, -123.50202629511377, 44.90298287418467, 31.838710666852982, 5.321379839023631, 11
42, 2014.8638, 2014.9897, -124.21082164229068, 48.41056363587251, 35.60285294965789, 6.65071278136518, 46
43, 2015.4743, 2015.5181, -123.83131021918665, 43.46890394640236, 27.868838227370222, 5.6319615305411626, 14
44, 2015.5838, 2015.6304, -126.81722346179187, 49.704040423372255, 21.497262178005386, 5.861701741535324, 18
45, 2015.6112, 2015.6277, -124.60757419991685, 48.51940628876209, 31.03913169258101, 5.146705617140454, 7
46, 2015.7974, 2015.833, -123.74232956833907, 41.61986246853629, 30.137449670992915, 6.20991289352571, 14
47, 2015.9863, 2016.178, -123.99283830664653, 47.00120930832514, 32.55804133409728, 6.9737985711432335, 71
48, 2016.2053, 2016.2163, -124.69361437441248, 48.185719880904976, 26.753493795506145, 5.034896597154816, 5
49, 2016.2081, 2016.2108, -124.73928524864066, 48.20488999486214, 26.47218007242126, 4.940362495896644, 2
50, 2016.2163, 2016.2163, nan, nan, nan, -inf, 1
51, 2016.219, 2016.219, nan, nan, nan, -inf, 1
52, 2016.6708, 2016.7146, -123.84140520564966, 41.98214011098244, 28.952359685175463, 6.03380621433653, 17
53, 2016.7474, 2016.7912, -123.58648708405983, 43.468851291676195, 32.2812815835507, 5.723775743704729, 16
54, 2016.8022, 2016.8706, -126.75355398939169, 49.64954106671742, 21.457029085051477, 5.906684919947261, 26
55, 2017.1362, 2017.1745, -123.27941154992862, 47.50655896639428, 38.23171117010827, 6.283816488318596, 15
56, 2017.2156, 2017.2758, -124.29535037618206, 48.470292974606025, 34.49792663440609, 6.583157029740561, 23
57, 2017.87, 2017.9357, -125.95965670647635, 49.441743433899525, 28.144197039505954, 5.98375561251191, 25
58, 2017.9192, 2017.9932, -124.67906273481343, 48.21577502204625, 26.829659786853988, 6.048981712736353, 28
59, 2017.9411, 2018.0999, -123.53345402920048, 45.91854888869956, 31.88275901126753, 6.694065711321134, 59
60, 2018.0014, 2018.0671, -123.6101176220364, 43.1264226562471, 32.88235194070795, 5.885712093264302, 25
61, 2018.0972, 2018.141, -124.8324433203795, 48.224904272705565, 25.187577109881893, 6.125317408657725, 17
62, 2018.371, 2018.423, -123.39627937723063, 47.457260865556584, 36.37352115626169, 6.415538906754512, 20
63, 2018.4723, 2018.5599, -124.28252361339595, 48.45792042888656, 34.642265751567784, 6.649404315269153, 33
64, 2018.5681, 2018.59, -124.04921055527905, 44.53235909662306, 25.12617770669332, 5.290970366064941, 9
65, 2018.5873, 2018.5873, -124.05286428726191, 44.509707264804675, 25.02249522694608, 4.054368612619297, 1
66, 2018.8255, 2018.8884, -123.89721059849926, 42.106979523402, 28.350434254731766, 6.260270890881087, 24
67, 2018.9185, 2018.9322, -124.65395807453984, 48.26928590702256, 27.997455531492683, 5.335738961400403, 6
68, 2018.9952, 2019.0418, -124.7098166353027, 48.2449515427009, 26.959800506898002, 5.724799380863569, 18
69, 2019.0116, 2019.0773, -126.07432948184888, 49.46570636099712, 27.144521540760834, 6.104899145148024, 25
70, 2019.0719, 2019.0938, -124.72564371882876, 48.207033274835716, 26.623005010451138, 5.088806682052321, 9
71, 2019.0746, 2019.0746, -124.6823234047995, 48.18929070815147, 27.06074140925512, 3.9428286614299126, 1
72, 2019.2444, 2019.4196, -123.54074698574264, 45.2438888950521, 32.2621666936817, 6.676309237007147, 65
73, 2019.3046, 2019.3593, -123.95233731145608, 41.17159663777898, 23.229934747702686, 6.055231973334144, 21
74, 2019.3593, 2019.3758, -123.86116250684495, 41.12270931865134, 23.454326206030235, 4.872624623518306, 7
75, 2019.3676, 2019.3785, -123.85220157770372, 41.03826212423848, 22.753053368797392, 3.931386937344268, 5
76, 2019.4196, 2019.4552, -124.40091120139523, 48.012222446525634, 27.8731357264286, 5.832210802822245, 14
77, 2019.4771, 2019.4935, -124.7583382670983, 48.36013385577425, 27.876056095440838, 5.036003414871616, 7
78, 2019.4825, 2019.4908, -124.68444891908938, 48.44801007347288, 29.630904049692866, 4.239117618920267, 4
79, 2019.5619, 2019.6304, -123.6642344094861, 43.692166183198665, 31.393969778157423, 6.303984771027985, 26
80, 2019.6167, 2019.6496, -123.6607415797602, 48.093383099532026, 37.569413642878565, 6.361025547185442, 13
81, 2019.8658, 2019.9124, -124.62406981108202, 48.80164485544253, 34.51006196074878, 6.383247704052599, 18
82, 2019.9671, 2020.0383, -123.8531596592944, 42.17027806469922, 29.078499864211096, 5.737939437088863, 27
83, 2020.7611, 2020.7858, -124.22779548393014, 41.503502203419345, 19.29847930850435, 5.777328241460065, 10
84, 2020.7748, 2020.8761, -123.55429096018395, 47.325716347218275, 35.214595462273955, 6.735528738953445, 38
85, 2020.9035, 2020.9309, -123.61500351255715, 40.545674850846225, 26.63023036467647, 5.104697334495582, 10
86, 2020.9035, 2020.9336, -123.44647645617992, 40.47021934931183, 30.42661467735303, 4.425322734794212, 11
87, 2020.9172, 2020.9254, -123.3495258221733, 40.49031771962906, 32.48244313317459, 4.144666814195868, 3
88, 2021.0678, 2021.1362, -124.8950167003411, 48.94342202356299, 33.23325003240132, 6.449612016392208, 26
89, 2021.1034, 2021.1389, -123.54819384722491, 45.86107749302193, 31.12609221945047, 6.24172492148281, 14
90, 2021.2183, 2021.2266, -123.26765802616748, 46.19020865038025, 34.730186553154574, 5.447257342327057, 4
91, 2021.2731, 2021.3744, -123.68365492268829, 44.48245736563917, 30.164577871880336, 6.669980254857257, 38
92, 2021.7632, 2021.8754, -123.66877241653687, 47.97971722334278, 36.70111927123625, 6.503221011724801, 42
93, 2021.7495, 2021.7687, -123.17072033607047, 40.708043461570625, 39.022127644626224, 5.261385452258545, 8
94, 2022.0041, 2022.0507, -125.63837480159222, 49.61238123091674, 34.614371876789654, 5.865806222781931, 18
95, 2022.1985, 2022.2834, -124.64732624286295, 48.75763137141885, 33.57350826011691, 6.456889440713838, 32
96, 2022.2259, 2022.2861, -123.88421261435683, 42.181642747252624, 28.17536450219056, 6.022103264273455, 23
97, 2022.3737, 2022.4285, -123.34260894690794, 46.87806337511768, 35.42553679272593, 6.39180888040925, 21
98, 2022.7269, 2022.7789, -123.48855770921067, 45.54564939916341, 32.17359831446341, 6.3607589199853045, 20
