Event ID, start date (YMD), end date (YMD), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, SSE duration (days), SSE area (km^2), distance nucleation point-arrest point (km)
1, 2007 1 21, 2007 2 4, -123.56175388809024, 47.92615968569637, 37.37338692013923, 6.5226872225598775, 15, 82946.25589685932, 144.85314030298395
2, 2007 6 20, 2007 7 2, -122.9938472008147, 45.652130959910686, 37.27291563008713, 5.934218124897945, 13, 12731.018729422993, 63.899388060533056
3, 2007 10 2, 2007 10 16, -125.81481774117219, 49.12508436605011, 24.905522124269694, 6.004122975816352, 15, 14996.433165214215, 32.66864717053299
4, 2008 5 6, 2008 5 21, -123.55016387869503, 48.01800064651735, 37.31036541399982, 6.359330117522851, 16, 46694.446839876626, 0.0
5, 2008 5 28, 2008 6 7, -124.36271147814371, 48.768111893743324, 36.42523103025932, 5.555154996971262, 11, 8355.590222389108, 59.11342072799812
6, 2008 6 3, 2008 6 13, -123.72250033625771, 43.82672383761722, 29.94594715384661, 5.991355284585802, 11, 19841.05965468897, 169.32640313699633
7, 2008 12 20, 2008 12 25, -123.0026337168249, 45.21171326946261, 37.463444741166754, 5.993472151984836, 6, 17858.77709236506, 152.78043668840013
8, 2008 12 17, 2008 12 25, -124.2207607110136, 48.95950442826107, 40.35510698132066, 5.783035003794631, 9, 7123.874451615289, 18.126931628665936
9, 2008 12 17, 2008 12 25, -124.56944363430907, 48.891090784635885, 36.27562806844298, 5.362059534810677, 9, 2320.3923518660763, 52.79393551701699
10, 2008 12 17, 2008 12 20, -123.85466625262852, 48.766800063661144, 40.648217898172916, 4.777387442289963, 4, 753.1182814917747, 32.161726189042525
11, 2008 12 17, 2008 12 20, -123.88987915562025, 49.19434957963855, 47.083599573447856, 5.111944180842837, 4, 2681.7718275422635, 197.44952838837747
12, 2008 12 17, 2008 12 25, -123.95066176511128, 49.40299726086663, 49.86170795571331, 5.032780423039018, 9, 453.29696550414485, nan
13, 2008 12 17, 2008 12 20, -124.51528464430068, 49.27503653623339, 42.30992345577107, 4.995506147778261, 4, 445.28328703841964, 0.0
14, 2008 12 17, 2008 12 20, -124.65628918130379, 49.21431101327502, 40.25881045277581, 5.197605372126038, 4, 1350.3183128765068, 67.22628783628488
15, 2008 12 17, 2008 12 25, -124.51522304514602, 49.38782374355315, 44.23853513611882, 5.165483231280252, 9, 1323.8869566213614, 168.67712480219112
16, 2008 12 17, 2008 12 20, -124.93033514620836, 49.100444867819654, 35.887198262504825, 4.79548705755552, 4, 458.5765829843283, 85.06973192877949
17, 2008 12 20, 2008 12 20, nan, nan, nan, -inf, 1, 0.0, 83.73296326340909
18, 2008 12 17, 2008 12 20, -124.99522774934394, 49.13468892781355, 35.74076632143111, 4.87123699448079, 4, 856.1282846923062, 19.12756366433397
19, 2009 2 23, 2009 3 12, -126.07418869437161, 49.36096085775532, 25.42851315962529, 6.291358495178854, 18, 39981.286047270245, 173.3661085334723
20, 2009 3 8, 2009 3 18, -123.82315314410211, 42.057079868887776, 29.864641491414226, 6.205610750986893, 11, 29032.73010595453, 54.69869552965099
21, 2009 5 4, 2009 5 13, -123.26967797989977, 47.821338080362445, 38.76948778680526, 6.127040258444075, 10, 24957.784932250885, 102.73808813355602
22, 2009 8 6, 2009 9 5, -123.33646703077824, 46.08466660526242, 34.059859421096675, 6.550838167493129, 31, 75777.98139209271, 30.000687161425066
23, 2010 8 13, 2010 8 27, -123.4535936831925, 47.8305385549908, 37.45365365901307, 6.492029286742142, 15, 67524.51126039872, 528.2335648706336
24, 2011 5 27, 2011 6 4, -125.69329800705465, 49.09511446873714, 26.093256733361816, 5.719786045964752, 9, 10373.503681658987, 0.0
25, 2011 6 10, 2011 7 2, -123.45429851543587, 45.254901095674796, 32.044924730107006, 6.341543757837621, 23, 45134.2537398884, 54.70246310894326
26, 2011 7 26, 2011 8 9, -123.16890001297354, 46.795280738814775, 37.17426014049785, 6.159281322128866, 15, 30932.6853231707, 38.30836746203938
27, 2011 8 13, 2011 8 28, -123.52253782393267, 47.86113635679666, 36.51215641737796, 6.376394522740433, 16, 56140.65038865291, 19.175645019127632
28, 2011 8 31, 2011 9 10, -124.11724826275287, 41.066557470592734, 18.47182458019265, 5.686765492827131, 11, 4353.894954897851, 103.39589172988873
29, 2011 9 8, 2011 9 16, -126.68024175107799, 49.5635250947422, 21.492622937925518, 6.024151974353618, 9, 16223.849373674244, 249.21326954120164
