Event ID, start date (YMD), end date (YMD), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, SSE duration (days), SSE area (km^2), distance nucleation point-arrest point (km)
1, 2007 1 21, 2007 2 3, -123.42878299716924, 47.948937156126284, 38.43968881016073, 6.388827623008321, 14, 51555.33158731595, 144.85314030298395
2, 2007 10 5, 2007 10 15, -125.92751222066642, 49.021011572039775, 21.72605329065673, 5.807175996973263, 11, 5957.582985599227, 63.899388060533056
3, 2008 5 6, 2008 5 14, -123.42848060293915, 48.00436239293647, 37.97184278325067, 6.213073359913849, 9, 24704.20659568383, 32.66864717053299
4, 2008 12 17, 2008 12 25, -124.37178154855769, 49.03533799856653, 40.11282656966417, 5.887524330441367, 9, 11632.42133996752, 0.0
5, 2008 12 21, 2008 12 26, -123.10775800925566, 45.17476689213193, 35.277508623074844, 5.931285182715656, 6, 10626.229948084503, 59.11342072799812
6, 2009 2 24, 2009 3 7, -126.15486493000273, 49.54328872765227, 26.73154856988613, 5.96912924905427, 12, 11635.010849722907, 169.32640313699633
7, 2009 3 2, 2009 3 5, -125.53739004550566, 48.98292337661138, 26.580098153360975, 5.638099306197287, 4, 4784.222236709493, 152.78043668840013
8, 2009 3 11, 2009 3 17, -123.81329890362368, 42.08104568579347, 30.01098097909049, 6.101946998213418, 7, 20443.508450038495, 18.126931628665936
9, 2009 5 7, 2009 5 13, -123.2066055431794, 47.75176394278727, 38.81770870755032, 5.951179207223652, 7, 12229.798908682467, 52.79393551701699
10, 2009 8 7, 2009 8 16, -123.2880763926816, 46.50750223252883, 35.07576443723232, 6.388759339484005, 10, 38327.17522714717, 32.161726189042525
11, 2009 8 24, 2009 9 5, -123.3259693813912, 45.2137805407312, 32.69748318215463, 5.820714380314995, 13, 9033.910865107635, 197.44952838837747
12, 2010 8 13, 2010 8 26, -123.39360302807881, 47.808669262007776, 37.52506036320432, 6.369362464023549, 14, 43459.422145975856, nan
13, 2011 6 10, 2011 6 25, -123.32990563577985, 45.21849335125631, 33.01422796245728, 6.01543043842744, 16, 15369.134798054194, 0.0
14, 2011 7 26, 2011 8 4, -123.12786382441628, 46.74961638584991, 37.57328171033695, 5.977169063567384, 10, 15224.240233572284, 67.22628783628488
15, 2011 8 13, 2011 8 27, -123.3643338971994, 47.85111212914756, 37.72242499884131, 6.202693218730837, 15, 27993.689687861435, 168.67712480219112
16, 2011 9 8, 2011 9 12, -126.6157507235224, 49.600615633115645, 22.785369355375867, 5.932910428816388, 5, 8254.97792445804, 85.06973192877949
17, 2012 9 3, 2012 9 10, -124.73206327285001, 48.8240622920036, 33.17678575823437, 6.288645879755749, 8, 40896.67482894346, 83.73296326340909
18, 2012 9 16, 2012 9 30, -123.41220851525709, 47.880559831418815, 36.945684485796356, 5.96947769507397, 15, 14077.420770929553, 19.12756366433397
19, 2013 9 20, 2013 9 29, -123.407873439119, 47.837665926236674, 36.467532307529446, 5.710215102776567, 10, 8348.801104340528, 173.3661085334723
20, 2013 9 28, 2013 10 7, -123.92780907339, 48.5237011194466, 37.388507800037615, 6.061847935632584, 10, 19754.385955776856, 54.69869552965099
21, 2013 9 29, 2013 10 5, -124.81497098676982, 48.90452180830925, 34.10375373386473, 5.632965651746928, 7, 5208.3724279389, 102.73808813355602
22, 2014 4 18, 2014 4 28, -127.2440510047373, 49.74464562397865, 17.218976416985747, 5.940510538516976, 11, 7564.635148767705, 30.000687161425066
23, 2014 6 17, 2014 6 25, -123.19623196399523, 46.63717641849169, 36.296759834819504, 5.678498613839891, 9, 6261.28787162519, 528.2335648706336
24, 2014 11 29, 2014 12 10, -123.44681015875501, 47.91772718318652, 36.80207534238421, 6.118714584922366, 11, 17262.758603773953, 0.0
25, 2015 12 25, 2016 1 13, -123.9513066770008, 48.31736836802327, 35.78802322018165, 6.532682169709845, 20, 62485.6039019026, 54.70246310894326
26, 2016 1 26, 2016 2 5, -123.01225556369374, 46.91405250387781, 39.54595589517585, 5.975525467077042, 11, 14693.09283906174, 38.30836746203938
27, 2016 2 10, 2016 2 29, -123.23584813422673, 45.403694676124424, 34.849263582767946, 6.2287998215276055, 20, 29900.82405865873, 19.175645019127632
28, 2017 2 22, 2017 2 28, -123.22902441820042, 47.52546556215553, 37.443192019003405, 5.949693932130192, 7, 12098.630288766051, 103.39589172988873
29, 2017 3 21, 2017 4 2, -123.76000550618907, 48.39524608711398, 37.755110427502125, 6.181941588631838, 13, 23886.028959573043, 249.21326954120164
30, 2017 12 2, 2017 12 7, -124.73928524864066, 48.20488999486214, 26.47218007242126, 5.754687326841412, 6, 4984.809914408691, 18.33811135881465
31, 2017 12 27, 2018 1 3, -123.33614650156974, 45.63722834597086, 32.89485775250399, 5.916851403635999, 8, 12074.511959993453, 64.98608830189319
32, 2018 1 18, 2018 1 31, -123.13731136159485, 46.57911033156529, 37.3431681477762, 6.071344852719218, 14, 16222.2532788023, 263.6018623527443
33, 2018 2 6, 2018 2 12, -124.73928524864066, 48.20488999486214, 26.47218007242126, 5.842830725406689, 7, 4984.809914408691, 16.86784943350735
34, 2018 5 16, 2018 5 26, -123.15699099854635, 47.57412158205789, 38.783803401969784, 6.153520176055377, 11, 16933.96966260963, 34.544181203173906
35, 2018 6 22, 2018 6 28, -124.53084320240761, 48.92578069190572, 37.03682840490089, 5.77370252214882, 7, 8765.429103851795, 161.26830070192798
36, 2018 7 4, 2018 7 12, -123.80775292505085, 48.35428176941386, 37.0905357156711, 6.2947497804190355, 9, 34944.831154321226, 198.5509560621004
37, 2018 11 5, 2018 11 12, -123.89454675880167, 42.07113519224035, 27.913503244392025, 5.994861031410188, 8, 11974.620563190458, 33.15561466778659
38, 2019 4 22, 2019 4 28, -123.95154715793689, 41.185205509387124, 22.440252227996872, 5.918301069470737, 7, 7704.9188819414185, 0.0
39, 2019 5 10, 2019 5 20, -123.39633026038624, 44.43458460186344, 33.769097770799796, 6.1696950111143645, 11, 28506.133801591288, 55.56173020900437
40, 2019 8 17, 2019 8 24, -123.42483469824344, 48.16993179313442, 39.08472959125993, 6.097144022581182, 8, 16323.676584037896, 19.38728880483554
41, 2020 10 9, 2020 10 20, -123.21541851348701, 47.25875732124504, 37.319292280706215, 6.4115571478932445, 12, 39667.70294351938, 57.46760101417735
42, 2020 11 3, 2020 11 14, -123.66581059699637, 48.1607714619656, 36.053216042320166, 5.937547134253737, 12, 13340.438235405558, 0.0
43, 2021 1 29, 2021 2 3, -125.57649914593061, 48.89467651173626, 24.72587462238801, 5.690260173745117, 6, 7468.955914873142, 207.71853821803595
44, 2021 1 30, 2021 2 6, -124.54878069684445, 48.90238693758263, 36.591979450506805, 5.8838099184020995, 8, 12910.788649472068, 38.46216239608049
45, 2021 2 12, 2021 2 20, -123.90720486874665, 46.444057098188274, 25.35696175763872, 6.015928879653033, 9, 13544.845799875922, nan
46, 2021 4 19, 2021 4 28, -123.17937803114957, 45.100179326852455, 33.91803965709171, 5.6866165973711, 10, 6069.680909365228, 17.979868702251704
47, 2021 4 27, 2021 5 6, -123.85828072898269, 43.47402621124807, 26.90466580406941, 5.824958019961563, 10, 7878.183831137745, 33.021312065129386
48, 2021 10 6, 2021 10 11, -123.27387793870527, 47.79205032239908, 38.0569014579799, 5.878913215171104, 6, 10495.471433049559, 462.64542823629654
49, 2021 10 20, 2021 10 28, -123.52672671391078, 48.25952325208933, 38.4254937615502, 5.950869714983806, 9, 14005.301838411522, 0.0
50, 2022 3 25, 2022 4 4, -124.36271147814371, 48.768111893743324, 36.42523103025932, 5.68737346991448, 11, 8355.590222389108, 0.0
51, 2022 5 22, 2022 5 30, -122.97141228087389, 46.86959422508687, 40.25618272171052, 6.091821170291859, 9, 20696.663955632823, nan
