Event ID, start date (decimal year), end date (decimal year), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, duration (days)
0, 2007.0554, 2007.0719, -123.11827011183755, 47.5329812910274, 39.195548704270436, 6.091429242294172, 7
1, 2007.0746, 2007.0883, -123.48673893038166, 48.234298047424545, 38.38967691784607, 5.76420356410431, 6
2, 2008.3504, 2008.3669, -123.39549445262553, 47.996858269650545, 37.95310903983317, 6.03744029745043, 7
3, 2009.191, 2009.2019, -123.74931450479214, 42.076586854387614, 32.002321693772856, 5.927659399077128, 5
4, 2009.6016, 2009.6235, -123.11344689234923, 46.56738971775956, 37.783120813641276, 6.257701312035774, 9
5, 2010.6174, 2010.6502, -123.30305467339765, 47.793013828083836, 38.297040336107294, 6.221041084780844, 13
6, 2011.6167, 2011.6386, -123.30235882761794, 47.82959813670101, 38.0865759140874, 6.015097453616696, 9
7, 2012.679, 2012.6899, -124.46853172932741, 48.86160431696774, 36.719993950036255, 6.024348867723815, 5
8, 2014.9103, 2014.935, -123.42281022660389, 47.88621709331151, 36.725489374477505, 5.915169225527392, 9
9, 2015.9836, 2016.0301, -123.85156182825648, 48.33288138376462, 36.731596092745505, 6.416275858514106, 18
10, 2016.1232, 2016.1533, -123.13093527828956, 45.65964842085109, 34.70848545388981, 5.887238310523409, 12
11, 2017.2211, 2017.2375, -123.70494991962667, 48.41079814937985, 38.1147459819465, 6.005255880621949, 7
12, 2018.0534, 2018.0698, -123.1227954490413, 46.57726007381468, 37.45816437558201, 5.8984403038633095, 7
13, 2018.3737, 2018.3874, -123.12444236114948, 47.6044361989268, 39.32447417933811, 6.032059077781702, 6
14, 2018.5161, 2018.5243, -123.69356871613456, 48.373812048493214, 38.06103878375876, 6.169821717385992, 4
15, 2019.3566, 2019.3703, -123.55598825856413, 44.06963186751938, 33.32349944634995, 5.761433656413562, 6
16, 2019.6277, 2019.6413, -123.35300392398686, 48.17220182366317, 39.702462546574914, 5.9211724831725725, 6
17, 2020.7775, 2020.8022, -123.18260236789958, 47.278069524443815, 37.64104434213253, 6.316744020031762, 10
18, 2021.117, 2021.1389, -123.93289816678491, 46.4475529263945, 24.9174144679973, 5.984332778753887, 9
19, 2022.3929, 2022.4093, -123.05647715712367, 46.91057105600804, 38.767121676649474, 5.889357948914545, 7
