Event ID, start date (YMD), end date (YMD), SSE centroid longitude, SSE centroid latitude, SSE centroid depth (km), Mw, SSE duration (days), SSE area (km^2), distance nucleation point-arrest point (km)
72, 2019 1 28, 2019 1 28, -124.6823234047995, 48.18929070815147, 27.06074140925512, 3.9428286614299126, 1, 454.9677567155248, 0.0
73, 2019 3 26, 2019 5 29, -123.54074698574264, 45.2438888950521, 32.2621666936817, 6.6882730137672075, 65, 175743.95542109947, 275.25560145338005
74, 2019 4 20, 2019 5 9, -123.95233731145608, 41.17159663777898, 23.229934747702686, 6.066448805751334, 20, 24732.767543506805, 39.612417990052
75, 2019 5 11, 2019 5 20, -123.86116250684495, 41.12270931865134, 23.454326206030235, 4.897499814833224, 10, 5005.048872745695, 34.051511225581
76, 2019 5 15, 2019 5 19, -123.85220157770372, 41.03826212423848, 22.753053368797392, 3.931386937344268, 5, 387.52138861576935, 0.0
77, 2019 6 2, 2019 6 20, -124.4030359189847, 48.002119521020695, 27.763081759941944, 5.844482853783301, 19, 27610.04729852957, nan
78, 2019 6 24, 2019 7 1, -124.7583382670983, 48.36013385577425, 27.876056095440838, 5.058464594162877, 8, 5976.545786796384, 18.944851481504198
79, 2019 6 26, 2019 6 29, -124.68444891908938, 48.44801007347288, 29.630904049692866, 4.239117618920267, 4, 962.165736417087, 0.0
80, 2019 7 22, 2019 8 21, -123.6642344094861, 43.692166183198665, 31.393969778157423, 6.31637931465371, 31, 64885.920768669916, 19.12756366433397
81, 2019 8 14, 2019 9 3, -123.68020785759295, 48.09883385036197, 37.398283262865576, 6.373529950484357, 21, 83276.0083523143, 18.208625356127104
82, 2019 11 11, 2019 12 11, -124.62406981108202, 48.80164485544253, 34.51006196074878, 6.394951888660675, 31, 98870.69959208535, 38.69949430004098
83, 2019 12 15, 2020 1 14, -123.8531596592944, 42.17027806469922, 29.078499864211096, 5.748204764682973, 31, 26030.040980466525, 55.27594331727391
84, 2020 9 29, 2020 10 13, -124.22779548393014, 41.503502203419345, 19.29847930850435, 5.78791787889542, 15, 12594.006932921893, 33.5128316228696
85, 2020 10 7, 2020 12 1, -123.55982421734254, 47.33344932339106, 35.208449387288745, 6.747655505156086, 56, 163242.13755498876, 141.4864014059961
86, 2020 11 26, 2020 12 7, -123.61500351255715, 40.545674850846225, 26.63023036467647, 5.130244391283257, 11, 5573.330423625749, 18.14962636253607
87, 2020 11 26, 2020 12 7, -123.44647645617992, 40.47021934931183, 30.42661467735303, 4.425322734794212, 11, 1282.9346474990516, 55.408397850494325
88, 2020 12 1, 2020 12 4, -123.3495258221733, 40.49031771962906, 32.48244313317459, 4.144666814195868, 3, 418.68646479553536, 0.0
89, 2021 1 26, 2021 3 3, -124.8950167003411, 48.94342202356299, 33.23325003240132, 6.461681030769035, 37, 113555.03922016881, nan
90, 2021 2 9, 2021 2 28, -123.54819384722491, 45.86107749302193, 31.12609221945047, 6.25435555044315, 20, 102379.15691094319, 0.0
91, 2021 3 21, 2021 3 24, -123.26765802616748, 46.19020865038025, 34.730186553154574, 5.447257342327057, 4, 14297.124431074059, 0.0
92, 2021 4 6, 2021 5 20, -123.68335104002205, 44.486261502838566, 30.166519629220517, 6.6819666614731155, 45, 207040.15119024765, 596.752212332532
93, 2021 9 27, 2021 11 15, -123.66877241653687, 47.97971722334278, 36.70111927123625, 6.515287946838736, 50, 98443.1135624394, nan
94, 2021 10 1, 2021 10 10, -123.17072033607047, 40.708043461570625, 39.022127644626224, 5.267796871460636, 10, 12204.856675309116, 35.002468438830796
95, 2022 1 2, 2022 1 19, -125.63837480159222, 49.61238123091674, 34.614371876789654, 5.865806222781931, 18, 30218.985741122073, nan
96, 2022 3 14, 2022 4 21, -124.64732624286295, 48.75763137141885, 33.57350826011691, 6.468967100015582, 39, 107584.8440804276, 0.0
97, 2022 3 25, 2022 4 19, -123.88421261435683, 42.181642747252624, 28.17536450219056, 6.035138947164655, 26, 33688.968372178846, 49.78283639878819
98, 2022 5 17, 2022 6 10, -123.34188412952842, 46.88143122641654, 35.43787537637078, 6.403845050420561, 25, 94654.00970746971, 57.2068377035132
99, 2022 9 21, 2022 10 12, -123.48855770921067, 45.54564939916341, 32.17359831446341, 6.371677738498115, 22, 93674.60501516542, 149.7582299972384
